INFO:tamil_translator:Initialized free Google Translate (deep-translator)
WARNING:tamil_translator:API translation failed for 'KR Thoppur': ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
WARNING:tamil_translator:API translation failed for 'Malakadu': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakadu (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakanahalli': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakanahalli (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakanahalli': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakanahalli (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkad': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkad (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkad': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkad (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkad Kuruma Colony, Pakyanikunn': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkad+Kuruma+Colony%2C+Pakyanikunn (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkad tribal Colony, Pakyanikunn': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkad+tribal+Colony%2C+Pakyanikunn (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkappara': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkappara (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkappara': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkappara (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkara': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkara (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakkara': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakkara (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
WARNING:tamil_translator:API translation failed for 'Malakothamuru': HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=ta&sl=en&q=Malakothamuru (Caused by NameResolutionError("HTTPSConnection(host='translate.google.com', port=443): Failed to resolve 'translate.google.com' ([Errno 8] nodename nor servname provided, or not known)"))
