id,old_name,new_name
37975,"Colony, Valiyakunnu",Valiyakunnu - Colony
37976,"Colony, Valiyakunnu, Attingal","Valiyakunnu, Attingal - Colony"
37977,"Colony, Valiyakunnu",Valiyakunnu - Colony
37989,"Panayil Colony, Ambalamukku, Attingal","Ambalamukku, Attingal - Panayil Colony"
37990,"Colony, Seevelikonam",Seevelikonam - Colony
37992,"Colony, Kottiyodu",Kottiyodu - Colony
37996,"Areekkakunnu Leksham Veedu Colony, Pravithanam",Pravithanam - Areekkakunnu Leksham Veedu Colony
38002,"Jayaprakash (J.P.) Nagar, Cauvery Nagar",Cauvery Nagar - Jayaprakash (J.P.) Nagar
38016,"OLH Colony, Elackad",Elackad - OLH Colony
47410,"Elampally, Neyyattusserry",Neyyattusserry - Elampally
53762,"Edalipparakudy Tribal Settlement, Edamalakudy",Edamalakudy - Edalipparakudy Tribal Settlement
57463,"Ambalapadykudy Tribal Settlement, Edamalakudy",Edamalakudy - Ambalapadykudy Tribal Settlement
58308,"2/B Gammanaya, Hurigaswewa",Hurigaswewa - 2/B Gammanaya
62384,"ayyanthole, punkunnam village office",punkunnam village office - ayyanthole
62579,"APSRTC Bus Station , Puttur",Puttur - APSRTC
62607,"Bus Terminal, Kakkanad",Kakkanad - Bus Terminal
62632,"TNSTC Bus Stand , Kallakurichi",Kallakurichi - TNSTC
62684,"Kerala State Road Transport Corperation, Mananthavadi",Mananthavadi - Kerala State Road Transport Corperation
62750,"Mukkadamukku, Chavara",Chavara - Mukkadamukku
62752,"Vazhayilmukku, Chavara",Chavara - Vazhayilmukku
62816,"KSRTC BUS STAND, KOOTHATUKULAM",KOOTHATUKULAM - KSRTC
62873,"Waiting shed, Pazhayidom",Pazhayidom - Waiting shed
62905,"Koyil Vazhi bus stand, Tiruppur",Tiruppur - Koyil Vazhi
62926,"KSRTC Bus Stand, Urdigere",Urdigere - KSRTC
62933,"APSRTC Bus Station , Palamaneru",Palamaneru - APSRTC
62934,"APSRTC Bus Station , Chittoor",Chittoor - APSRTC
62935,"APSRTC Bus Station , Punganur",Punganur - APSRTC
62936,"APSRTC Bus Station , Kuppam",Kuppam - APSRTC
62937,"APSRTC Bus Station , Venkatagiri Kota",Venkatagiri Kota - APSRTC
62938,"APSRTC Bus Station , Kanipakam",Kanipakam - APSRTC
62940,"APSRTC Bus Station , Pichchatur",Pichchatur - APSRTC
62941,"APSRTC Bus Station , Nagalapuram",Nagalapuram - APSRTC
62943,"APSRTC Bus Station , Satyavedu",Satyavedu - APSRTC
62945,"APSRTC Bus Station , Pakala",Pakala - APSRTC
62959,"Madhavarm APSRTC , TNSTC Bus Terminus",TNSTC Bus Terminus - Madhavarm APSRTC
62966,"TNSTC Tanthiperiyar Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Tanthiperiyar Bus Depot
62967,"TNSTC Bus Depot , Tiruvannamalai",Tiruvannamalai - TNSTC Bus Depot
63083,"TNSTC Bus Depot , Palani",Palani - TNSTC Bus Depot
63084,"M.G.R Mattuthavani Bus Stand , Madurai",Madurai - Mattuthavani
63085,"Periyar Bus Stand , Madurai",Madurai - Periyar
63246,"Kerala State Road Transport Cooperation Bus Depot, Ponkunnam",Ponkunnam - Kerala State Road Transport Cooperation Bus Depot
63259,"Private Bus Station, Kottarakkara",Kottarakkara - Private
63263,"IGBT Bus Stand, Manjeri",Manjeri - IGBT
63264,"New Bus Stand, Manjeri",Manjeri - New
63290,"Kerala State Road Transport Cooperation Bus Station, Irinjalakuda",Irinjalakuda - Kerala State Road Transport Cooperation
63416,"Kerala State Road Transport Corporation, Perumbavoor",Perumbavoor - Kerala State Road Transport Corporation
63457,"Private Bus Stand, North Paravur",North Paravur - Private
63473,"KSRTC BUS STATION, PIRAVOM",PIRAVOM - KSRTC
63497,"Private Bus Stand,Perumbavoor",Perumbavoor - Private
63498,"Muncipal Bus Stand,Thankalam",Thankalam - Muncipal
63544,"Paruthumpara Bus stop towards Njaliyakuzhy, Changanassery",Changanassery - Paruthumpara Bus stop towards Njaliyakuzhy
63555,"Pothukal Bus Station, Pothukal",Pothukal - Pothukal
63653,"Private Bus Stand, Koothattukulam",Koothattukulam - Private
63654,"KSRTC Bus Stand, Koothattukulam",Koothattukulam - KSRTC
63655,"Kerala State Road Transport Corporation, Kacheri, Attingal","Kacheri, Attingal - Kerala State Road Transport Corporation"
63656,"Private bus stand, kacheri jn",kacheri jn - Private
63658,"Koyil vazhi bus stand, Tiruppur",Tiruppur - Koyil vazhi
63659,"New Bus Stand, Tiruppur",Tiruppur - New
63664,"Jose Thomas Padinjarekkara Private Bus Terminal, Kottaramattam, Palai","Kottaramattam, Palai - Jose Thomas Padinjarekkara Private Bus Terminal"
63710,"Bus Terminal 2, 2A",2A - Bus Terminal 2
63721,"Kerala State Road Transport Corporation Bus Stand, Munnar",Munnar - Kerala State Road Transport Corporation
63731,"Annai Indira Gandhi Bus Stand, Karumandurai",Karumandurai - Annai Indira Gandhi
64433,"Central Government Officers Quarters, General Pool Accomodation",General Pool Accomodation - Central Government Officers Quarters
64995,"Nettithozhu,Kochera",Kochera - Nettithozhu
65173,"AECS Layout, A block",A block - AECS Layout
65497,"Pallippuram, Karambathur P O",Karambathur P O - Pallippuram
65669,"Aasharimukku,amarap.o",amarap.o - Aasharimukku
65670,"Thottikada, Upputhode",Upputhode - Thottikada
65680,"Gouri city, Upputhode",Upputhode - Gouri city
65860,"Pallikkamarup,  Edakkulam",Edakkulam - Pallikkamarup
65861,"Kulikadavunkal, Punnasheripadi",Punnasheripadi - Kulikadavunkal
65905,"Kalathil Tribal Colony, Madakkimala",Madakkimala - Kalathil Tribal Colony
65906,"Mangalamkunn Tribal Colony, Panangandi",Panangandi - Mangalamkunn Tribal Colony
65908,"Pandyattvayal Tribal Colony, Kariambadi",Kariambadi - Pandyattvayal Tribal Colony
65909,"Koraladi Tribal Colony, Kolavayal",Kolavayal - Koraladi Tribal Colony
65910,"Njanummel Tribal colony, Kolavayal",Kolavayal - Njanummel Tribal colony
65912,"Moothimoola Kuruma Colony, Kariyambadi",Kariyambadi - Moothimoola Kuruma Colony
65913,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
65914,"Thottamkolli Tribal Colony, Kuppadi",Kuppadi - Thottamkolli Tribal Colony
65915,"Shastri Nagar Tribal Colony, Aalamdhatta",Aalamdhatta - Shastri Nagar Tribal Colony
65918,"Oorapakk Kunn Tribal Colony, Vazhavatta",Vazhavatta - Oorapakk Kunn Tribal Colony
65919,"Naikollikunn Tribal Colony, Pakkam",Pakkam - Naikollikunn Tribal Colony
65920,"Naikollikunn Kuruma Colony, Pakkam",Pakkam - Naikollikunn Kuruma Colony
65921,"Unnikkan Tribal Colony, Pakkam",Pakkam - Unnikkan Tribal Colony
65922,"Palakattkunn tribal Colony, Pakkam",Pakkam - Palakattkunn tribal Colony
65923,"Kaippadam Tribal Colony, Variad",Variad - Kaippadam Tribal Colony
65924,"Theneri Kuruma Colony, Theneri",Theneri - Theneri Kuruma Colony
65925,"Bharathan Colony, Theneri",Theneri - Bharathan Colony
65926,"Malakkad Kuruma Colony, Pakyanikunn",Pakyanikunn - Malakkad Kuruma Colony
65927,"Malakkad tribal Colony, Pakyanikunn",Pakyanikunn - Malakkad tribal Colony
65948,"Banashankari 6th Stage, 11th Block",11th Block - Banashankari 6th Stage
65976,"Ministry of Communications Employees Co-operative Housing Society, 6th Phase",6th Phase - Ministry of Communications Employees Co-operative Housing Society
65993,"Colony, Manhappatta",Manhappatta - Colony
66006,"Kalmparambu Colony, Naduvattom",Naduvattom - Kalmparambu Colony
66008,"Mythri Colony, Kuttippuram",Kuttippuram - Mythri Colony
66014,"Kubara Colony, Nagaparambu",Nagaparambu - Kubara Colony
66074,"Colony, Pizhaku",Pizhaku - Colony
66075,"Colony, Veliayath",Veliayath - Colony
66076,"Colony, Kudampidi",Kudampidi - Colony
66077,"Colony, Elivali",Elivali - Colony
66117,"Puzhamkuni Tribal Colony, Vazhavatta",Vazhavatta - Puzhamkuni Tribal Colony
66118,"Kallupadi Kuruma Colony, Kallupadi",Kallupadi - Kallupadi Kuruma Colony
66120,"Aavilatt Tribal Colony, Karingannikunn",Karingannikunn - Aavilatt Tribal Colony
66121,"4 cent Colony, Karingannikunn",Karingannikunn - 4 cent Colony
66123,"Alakunn Colony, Karinganikunn",Karinganikunn - Alakunn Colony
66124,"Kudalmoola Colony, Kolavayal",Kolavayal - Kudalmoola Colony
66125,"Tazhe Kozhimoola Tribal Colony, Kolavayal",Kolavayal - Tazhe Kozhimoola Tribal Colony
66126,"Thazhe Njanummal Colony, Kolavayal",Kolavayal - Thazhe Njanummal Colony
66137,"Ittiyarmala Colony,Kalamboor",Kalamboor - Ittiyarmala Colony
66143,"Colony, Mundakkutti",Mundakkutti - Colony
66191,"Vengoor, Ambedkar Colony",Ambedkar Colony - Vengoor
66280,"Lakshamveed Colony, Kundlikkad",Kundlikkad - Lakshamveed Colony
66393,"Colony , Thuvvur",Thuvvur - Colony
66394,"Colony , Thuvvur",Thuvvur - Colony
66395,"Colony , Thuvvur",Thuvvur - Colony
66396,"Colony , Thuvvur",Thuvvur - Colony
66397,"Colony , Thuvvur",Thuvvur - Colony
66398,"Colony , Thuvvur",Thuvvur - Colony
66399,"Colony , Thuvvur",Thuvvur - Colony
