name,type,latitude,longitude,district,state,osm_id
Maradihundi,hamlet,12.2076149,76.7868698,Unknown,Tamil Nadu,6159443672
Rettaiyalam,hamlet,10.001659,79.1500246,Unknown,Tamil Nadu,6164092135
Pakkam,hamlet,9.9843624,79.1460442,Unknown,Tamil Nadu,6164170421
Moovanur,hamlet,9.9987323,79.1294253,Unknown,Tamil Nadu,6164210986
Seeganendal,hamlet,10.01737,79.1352081,Unknown,Tamil Nadu,6164210987
Keelkarai,hamlet,10.0308721,79.1272366,Unknown,Tamil Nadu,6166922717
Kattukarai,hamlet,10.0247656,79.1078281,Unknown,Tamil Nadu,6166922719
Azhagankottai,hamlet,10.0207931,79.1092443,Unknown,Tamil Nadu,6166922720
Mutthandavayal,hamlet,10.0080513,79.1116476,Unknown,Tamil Nadu,6166955670
Purasakkudi,hamlet,10.0087697,79.1038155,Unknown,Tamil Nadu,6166955671
Thathani,hamlet,9.9708795,79.1319465,Unknown,Tamil Nadu,6166983569
Kurunthankudi,hamlet,9.9877436,79.1290069,Unknown,Tamil Nadu,6167036109
Andiyendal,hamlet,9.991484,79.1268611,Unknown,Tamil Nadu,6167052832
Manaikkudi,hamlet,9.98525,79.1720724,Unknown,Tamil Nadu,6170845277
Kottamonpara,hamlet,9.348308,76.9745131,Unknown,Tamil Nadu,6172406888
Siruvilathur,hamlet,9.9904063,79.1569876,Unknown,Tamil Nadu,6173444748
Vilathur,hamlet,10.0034447,79.1654098,Unknown,Tamil Nadu,6173453273
Peruvilattur,hamlet,9.9975701,79.1618156,Unknown,Tamil Nadu,6173453274
Muthanendal,hamlet,9.9528943,79.1618907,Unknown,Tamil Nadu,6173749282
Palakkudi,hamlet,9.9503898,79.1611075,Unknown,Tamil Nadu,6173749283
Athipattinam,hamlet,10.0144751,79.2318106,Unknown,Tamil Nadu,6179171143
Avudayarpattinam,hamlet,10.022885,79.2378187,Unknown,Tamil Nadu,6179175613
Ammavayal,hamlet,10.0246916,79.2244398,Unknown,Tamil Nadu,6179238325
Ayyampattinam,hamlet,9.9589493,79.1800547,Unknown,Tamil Nadu,6179289410
Kodakudi,hamlet,9.9648563,79.164927,Unknown,Tamil Nadu,6179289411
Vanichiyendal,hamlet,9.9746306,79.1862559,Unknown,Tamil Nadu,6179290368
Kumarappanvayal,hamlet,9.9389979,79.1563225,Unknown,Tamil Nadu,6179297650
Sithavanam,hamlet,10.0016696,79.1172266,Unknown,Tamil Nadu,6186594783
Satthamangalam,hamlet,9.9966191,79.1241145,Unknown,Tamil Nadu,6186678851
Sirukavayal,hamlet,10.1176401,79.0728521,Unknown,Tamil Nadu,6186751879
Pallathivayal,hamlet,10.1221817,79.0633678,Unknown,Tamil Nadu,6188445971
Yetticheri,hamlet,10.1194356,79.0792036,Unknown,Tamil Nadu,6188448893
Vennamozhiyenthal,hamlet,10.1296171,79.0717578,Unknown,Tamil Nadu,6188450598
Avavayal,hamlet,10.1314548,79.0662432,Unknown,Tamil Nadu,6188517819
Vethinivayal,hamlet,10.1129294,79.0991378,Unknown,Tamil Nadu,6188608280
Eechangudi,hamlet,10.1195201,79.0939235,Unknown,Tamil Nadu,6188608281
Kaaranieanthal,hamlet,10.1326166,79.0888166,Unknown,Tamil Nadu,6188611693
Lakshmiyenthal,hamlet,10.0808082,79.0667313,Unknown,Tamil Nadu,6196321771
Nettiyenthal,hamlet,10.1045904,79.0444797,Unknown,Tamil Nadu,6196321892
Seplavayal,hamlet,10.133546,79.0539694,Unknown,Tamil Nadu,6226011324
Kottamala,hamlet,9.7294661,76.9222143,Unknown,Tamil Nadu,6263141655
Sasthanada,hamlet,9.678408,77.1088616,Theni,Tamil Nadu,6263411606
Kadamakkuzhi,hamlet,9.7138944,77.0999629,Theni,Tamil Nadu,6265160199
Valupara,hamlet,9.3465772,76.9833923,Tenkasi,Tamil Nadu,6265372213
Aliyanmukku,hamlet,9.3392737,76.9889151,Tenkasi,Tamil Nadu,6265372214
Thonithadi,hamlet,9.6963318,77.0333736,Unknown,Tamil Nadu,6265485887
Villagepadi,hamlet,9.7052965,77.0453726,Unknown,Tamil Nadu,6265494820
Thovarayar,hamlet,9.7480754,77.0955484,Theni,Tamil Nadu,6265500203
Chembalam,hamlet,9.8200793,77.1432598,Theni,Tamil Nadu,6265506831
Muniyara,hamlet,9.9294974,77.0742555,Theni,Tamil Nadu,6265518737
Erumbadam,hamlet,9.6625728,76.9951303,Unknown,Tamil Nadu,6267390084
6th Mile,hamlet,9.6692588,77.010537,Unknown,Tamil Nadu,6267394283
Moonnukallu,hamlet,9.3315771,76.9619713,Unknown,Tamil Nadu,6269097027
Kochukoickal,hamlet,9.3312596,76.9785265,Tenkasi,Tamil Nadu,6269112828
Manakkayam,hamlet,9.3395768,76.9267894,Unknown,Tamil Nadu,6269157676
Pottammoozhy,hamlet,9.3514139,76.907202,Unknown,Tamil Nadu,6269157681
Kalaketty,hamlet,9.4427638,76.939534,Unknown,Tamil Nadu,6269172009
Panckavayal,hamlet,9.4434954,76.8846628,Unknown,Tamil Nadu,6269173641
Umikuppa,hamlet,9.426786,76.9173994,Unknown,Tamil Nadu,6269180158
Kuvalettam,hamlet,9.7167503,76.9489385,Unknown,Tamil Nadu,6270817848
Kumarikulam,hamlet,9.7168178,76.9621621,Unknown,Tamil Nadu,6270817851
Mattuthavalam,hamlet,9.7128702,76.9990608,Unknown,Tamil Nadu,6270821953
Mathaippara,hamlet,9.7126152,76.9857348,Unknown,Tamil Nadu,6270821954
Thannithodu Moozhi,hamlet,9.2592456,76.9255002,Tenkasi,Tamil Nadu,6280274080
Kalthotty,hamlet,9.7216972,77.0602318,Unknown,Tamil Nadu,6280360419
Vengaloorkkada,hamlet,9.7309832,77.0742427,Theni,Tamil Nadu,6280369656
East Mattukkatta,hamlet,9.7055094,77.0563977,Unknown,Tamil Nadu,6280369657
Sulthaniya,hamlet,9.6825693,77.0589728,Unknown,Tamil Nadu,6280369659
Kochuthovala,hamlet,9.7733805,77.1280054,Theni,Tamil Nadu,6280555550
Vettikuzhikavala,hamlet,9.7713587,77.1110052,Theni,Tamil Nadu,6280562785
Mookethakada,hamlet,9.7068106,77.0739901,Unknown,Tamil Nadu,6280611330
Padayanippara,hamlet,9.33049,76.8919144,Unknown,Tamil Nadu,6280668656
Thooval,hamlet,9.8459626,77.1079318,Theni,Tamil Nadu,6288594592
Pallikadu,hamlet,11.7633431,78.3524225,Namakkal,Tamil Nadu,6297142157
Pelapady,hamlet,11.7735032,78.3830407,Namakkal,Tamil Nadu,6297142158
Athanoor Mandapam,hamlet,10.7732687,79.3827814,Thanjavur,Tamil Nadu,6300429065
Halagere,hamlet,12.3114921,76.2657273,Unknown,Tamil Nadu,6343183022
Heggadihalli,hamlet,12.9408031,76.5489364,Unknown,Tamil Nadu,6350636713
Panaiyavayal,hamlet,10.0916776,79.0471512,Unknown,Tamil Nadu,6356972559
Duraiyavayal,hamlet,10.0916565,79.0450108,Unknown,Tamil Nadu,6356975405
Navakkudi,hamlet,10.1001278,79.0653634,Unknown,Tamil Nadu,6356987298
Varanthi,hamlet,10.0938271,79.0590334,Unknown,Tamil Nadu,6356987301
Thazhe Ammaani,hamlet,11.8423357,76.0685794,Unknown,Tamil Nadu,6367702271
Ammaani,hamlet,11.8442378,76.0648786,Unknown,Tamil Nadu,6367702272
Ambedkar Colony,hamlet,11.8337791,76.0748196,Unknown,Tamil Nadu,6367702273
Kavikkal,hamlet,11.8307555,76.0877745,Unknown,Tamil Nadu,6367722986
Kalenahalli,hamlet,13.1475434,77.5117206,Unknown,Tamil Nadu,6371987178
Athiydimanai,hamlet,10.4107059,78.9504623,Thanjavur,Tamil Nadu,6382659768
Kudikadu North,hamlet,10.0903995,79.0701377,Unknown,Tamil Nadu,6407536359
Vatakkaloor,hamlet,10.0819174,79.0462017,Unknown,Tamil Nadu,6407599175
Kurichikkulam,hamlet,10.0738048,79.0397429,Unknown,Tamil Nadu,6407599176
Karakudi,hamlet,10.0859102,79.0500855,Unknown,Tamil Nadu,6407606381
Kulathukkudieruppu,hamlet,10.0900192,79.0225232,Unknown,Tamil Nadu,6407616957
Sispara,hamlet,11.2027209,76.4394613,Nilgiris,Tamil Nadu,6434636402
