name,type,latitude,longitude,osm_id
Chengannur Private Bus Stand,bus_stop,9.3186083,76.6096763,7464698941
Kerala State Road Transport Corporation Regional Workshop,bus_stop,10.0924402,76.344839,7465555388
Kulamavu Bus Stand,bus_stop,9.7949521,76.8887822,7465902649
Vazhakulam Private Stand,bus_stop,9.9441519,76.6408347,7467170982
Rajakad Bus Stand,bus_stop,9.9616742,77.0984088,7467637511
Thalayolaparambu Bus Terminal,bus_stop,9.7854748,76.4433095,7470352013
Thanjoor Mala Colony,bus_stop,10.0214084,76.607404,7473009353
kalavoor bus station,bus_stop,9.5691246,76.3294085,7473576392
Kumbalam Bus Stand,bus_stop,8.9924317,76.6618022,7489987391
Ambalamkunnu,bus_stop,8.9009919,76.7931208,7490127386
bus stand ambalapady,bus_stop,9.9948809,76.7832782,7490184959
Kaduvamuzhy Bus station,bus_stop,9.6942973,76.7736821,7491693835
Kadukutty Bus Stand,bus_stop,10.2700931,76.309524,7497035596
Muthukurussi bus stand,bus_stop,10.8983252,76.2567086,7498032679
Changanassery Private Bus Stand No. 1,bus_stop,9.4470579,76.5420423,7499988791
Pothanicad Bus Waiting Station,bus_stop,10.0069201,76.681229,7508765741
Manalinmmel Bus Stand,bus_stop,11.1934306,76.235333,7510448663
Mandiram,bus_stop,9.5080416,76.5267122,7516356807
KSRTC Bus Terminus,bus_stop,11.7949739,76.0000136,7525132997
Chengam Bus Stand,bus_stop,12.3040795,78.7925517,7526726456
peechi bus stand,bus_stop,10.5283054,76.3677491,7600040714
Pattur Bus Stand,bus_stop,13.0231848,80.1185112,7652446224
Ambalapuzha Junction Bus Stop,bus_stop,9.382829,76.3551601,7663505358
Ambattur Industrial Estate Bus Terminus,bus_stop,13.0996142,80.1699229,7796477466
Anna Nagar West,bus_stop,13.0937546,80.1984937,7796591114
Avinashi New Bus stand,bus_stop,11.1875987,77.2782647,7853234879
Ambattur O.T,bus_stop,13.1196613,80.1501222,7895958715
Puthenvelikkara Bus Stand,bus_stop,10.1874427,76.2454284,7923747352
New Bus Stand,bus_stop,11.1321871,77.3412422,8069287056
Thiruppathur,bus_stop,10.111057,78.5952667,8078653117
pallimukku-mulavana,bus_stop,8.9674869,76.6883682,8237911844
Parippu,bus_stop,9.6192318,76.4758931,8255003108
Edathanattukara,bus_stop,11.0597378,76.3492748,8279467391
Bmm school bus station,bus_stop,9.5543933,76.6289276,8280662767
Medical College bus Terminal,bus_stop,9.632297,76.5213911,8286625791
chungam pattikkad,bus_stop,11.0162982,76.2288012,8290657068
Alummood Bus Stop,bus_stop,9.5094979,76.7942707,8323674240
ADOOR BUS STAND,bus_stop,9.1528484,76.7331323,8325309561
kunnamkulam bus stand,bus_stop,10.6508456,76.0697256,8334434124
Pandalam Private Bus Stop,bus_stop,9.2244588,76.6775722,8345433432
Chengannur KSRTC Bus Stand,bus_stop,9.318477,76.6130267,8345433447
KSRTC Bus Stop,bus_stop,10.7492286,79.1127793,8355026490
Karikulam Bus stop,bus_stop,9.3949325,76.8131997,8387363100
mangattukavala bus stop,bus_stop,9.9026347,76.7248112,8396443668
Valiyaplachal Bus Stop Padi,bus_stop,9.3530238,76.789261,8396732029
"Waiting shed, Pazhayidom",bus_stop,9.5053756,76.7770583,8398672102
Waiting Shed,bus_stop,9.5066909,76.7965158,8399094503
Pallickathodu bus stand,bus_stop,9.6019645,76.6825499,8399235736
Arumaloor,bus_stop,8.4769919,77.0742376,8410806153
mangattukavala bus stop,bus_stop,9.9076731,76.7209022,8411932471
KSRTC Attingal,bus_stop,8.6941962,76.8188726,8423188202
Thiruvarpu,bus_stop,9.578784,76.4719415,8504627253
Malarikal,bus_stop,9.5590198,76.4923105,8543100128
Kayalpuram Pally,bus_stop,9.4609144,76.4310977,8561362588
Nedumkandam Bus Stand,bus_stop,9.8437002,77.1518644,8571043809
Mannadiyar Bus Garage,bus_stop,8.4287944,77.0047768,8575640878
umayanalloor bus stop,bus_stop,8.8650395,76.6537963,8728599927
Old Bus Stand,bus_stop,9.5905855,76.5214253,8788724490
Koduvayur Bus Stand 1,bus_stop,10.6849196,76.6541091,8845582901
Municipal Bus Stand Thankalam,bus_stop,10.0688834,76.6127927,8864666705
Karukachal Bus station,bus_stop,9.5030111,76.641388,8864989562
ksrtc bus stand irinjakuda,bus_stop,10.3460758,76.1949673,8887251741
irinjalakuda bus stand,bus_stop,10.3471898,76.2069498,8889815407
